 datData; strNomePraca; strCodigoCategoria; numMesReferencia; numAnoReferencia; numValorArrecadado; numQuantidadeVeiculos
01/01/2009; Praia do Sol; CAT1; 1; 2009; 91280.40; 14964 
01/01/2009; Praia do Sol; CAT2; 1; 2009; 2086.20; 171 
01/01/2009; Praia do Sol; CAT3; 1; 2009; 375.15; 41 
01/01/2009; Praia do Sol; CAT4; 1; 2009; 1098.00; 60 
01/01/2009; Praia do Sol; CAT5; 1; 2009; 12.20; 1 
01/01/2009; Praia do Sol; CAT6; 1; 2009; 24.40; 1 
01/01/2009; Praia do Sol; CAT7; 1; 2009; 0.00; 0 
01/01/2009; Praia do Sol; CAT8; 1; 2009; 36.60; 1 
01/01/2009; Praia do Sol; CAT9; 1; 2009; 2410.15; 817 
01/01/2009; Praia do Sol; ISENTOS; 1; 2009; 0.00; 79 
01/01/2009; Terceira Ponte; CAT1; 1; 2009; 56449.60; 35281 
01/01/2009; Terceira Ponte; CAT2; 1; 2009; 595.20; 186 
01/01/2009; Terceira Ponte; CAT3; 1; 2009; 100.80; 42 
01/01/2009; Terceira Ponte; CAT4; 1; 2009; 72.00; 15 
01/01/2009; Terceira Ponte; CAT5; 1; 2009; 0.00; 0 
01/01/2009; Terceira Ponte; CAT6; 1; 2009; 0.00; 0 
01/01/2009; Terceira Ponte; CAT7; 1; 2009; 0.00; 0 
01/01/2009; Terceira Ponte; CAT8; 1; 2009; 0.00; 0 
01/01/2009; Terceira Ponte; CAT9; 1; 2009; 1304.25; 1739 
01/01/2009; Terceira Ponte; ISENTOS; 1; 2009; 0.00; 631 
01/02/2009; Praia do Sol; CAT1; 2; 2009; 99936.30; 16383 
01/02/2009; Praia do Sol; CAT2; 2; 2009; 2476.60; 203 
01/02/2009; Praia do Sol; CAT3; 2; 2009; 613.05; 67 
01/02/2009; Praia do Sol; CAT4; 2; 2009; 1756.80; 96 
01/02/2009; Praia do Sol; CAT5; 2; 2009; 85.40; 7 
01/02/2009; Praia do Sol; CAT6; 2; 2009; 73.20; 3 
01/02/2009; Praia do Sol; CAT7; 2; 2009; 122.00; 4 
01/02/2009; Praia do Sol; CAT8; 2; 2009; 109.80; 3 
01/02/2009; Praia do Sol; CAT9; 2; 2009; 2705.15; 917 
01/02/2009; Praia do Sol; ISENTOS; 2; 2009; 0.00; 70 
01/02/2009; Terceira Ponte; CAT1; 2; 2009; 73742.40; 46089 
01/02/2009; Terceira Ponte; CAT2; 2; 2009; 774.40; 242 
01/02/2009; Terceira Ponte; CAT3; 2; 2009; 220.80; 92 
01/02/2009; Terceira Ponte; CAT4; 2; 2009; 91.20; 19 
01/02/2009; Terceira Ponte; CAT5; 2; 2009; 6.40; 2 
01/02/2009; Terceira Ponte; CAT6; 2; 2009; 12.80; 2 
