 datData; strNomePraca; strCodigoCategoria; numMesReferencia; numAnoReferencia; numValorArrecadado; numQuantidadeVeiculos
01/04/2013; PRAIA DO SOL; CAT9; 4; 2013; 2080.80; 578 
01/04/2013; TERCEIRA PONTE; CAT1; 4; 2013; 143913.60; 75744 
01/04/2013; TERCEIRA PONTE; CAT2; 4; 2013; 1896.20; 499 
01/04/2013; TERCEIRA PONTE; CAT3; 4; 2013; 76.95; 27 
01/04/2013; TERCEIRA PONTE; CAT4; 4; 2013; 148.20; 26 
01/04/2013; TERCEIRA PONTE; CAT5; 4; 2013; 53.20; 14 
01/04/2013; TERCEIRA PONTE; CAT6; 4; 2013; 60.80; 8 
01/04/2013; TERCEIRA PONTE; CAT7; 4; 2013; 0.00; 0 
01/04/2013; TERCEIRA PONTE; CAT8; 4; 2013; 0.00; 0 
01/04/2013; TERCEIRA PONTE; CAT9; 4; 2013; 8246.00; 8680 
01/05/2013; PRAIA DO SOL; CAT1; 5; 2013; 64195.20; 8916 
01/05/2013; PRAIA DO SOL; CAT2; 5; 2013; 2779.20; 193 
01/05/2013; PRAIA DO SOL; CAT3; 5; 2013; 291.60; 27 
01/05/2013; PRAIA DO SOL; CAT4; 5; 2013; 1792.80; 83 
01/05/2013; PRAIA DO SOL; CAT5; 5; 2013; 28.80; 2 
01/05/2013; PRAIA DO SOL; CAT6; 5; 2013; 604.80; 21 
01/05/2013; PRAIA DO SOL; CAT7; 5; 2013; 612.00; 17 
01/05/2013; PRAIA DO SOL; CAT8; 5; 2013; 648.00; 15 
01/05/2013; PRAIA DO SOL; CAT9; 5; 2013; 2167.20; 602 
01/05/2013; TERCEIRA PONTE; CAT1; 5; 2013; 88726.20; 46698 
01/05/2013; TERCEIRA PONTE; CAT2; 5; 2013; 889.20; 234 
01/05/2013; TERCEIRA PONTE; CAT3; 5; 2013; 171.00; 60 
01/05/2013; TERCEIRA PONTE; CAT4; 5; 2013; 74.10; 13 
01/05/2013; TERCEIRA PONTE; CAT5; 5; 2013; 3.80; 1 
01/05/2013; TERCEIRA PONTE; CAT6; 5; 2013; 22.80; 3 
01/05/2013; TERCEIRA PONTE; CAT7; 5; 2013; 0.00; 0 
01/05/2013; TERCEIRA PONTE; CAT8; 5; 2013; 0.00; 0 
01/05/2013; TERCEIRA PONTE; CAT9; 5; 2013; 2811.05; 2959 
01/06/2013; PRAIA DO SOL; CAT1; 6; 2013; 75895.20; 10541 
01/06/2013; PRAIA DO SOL; CAT2; 6; 2013; 3571.20; 248 
01/06/2013; PRAIA DO SOL; CAT3; 6; 2013; 259.20; 24 
01/06/2013; PRAIA DO SOL; CAT4; 6; 2013; 1987.20; 92 
01/06/2013; PRAIA DO SOL; CAT5; 6; 2013; 57.60; 4 
01/06/2013; PRAIA DO SOL; CAT6; 6; 2013; 432.00; 15 
01/06/2013; PRAIA DO SOL; CAT7; 6; 2013; 324.00; 9 
01/06/2013; PRAIA DO SOL; CAT8; 6; 2013; 518.40; 12 
01/06/2013; PRAIA DO SOL; CAT88; 6; 2013; 0.00; 114 
01/06/2013; PRAIA DO SOL; CAT9; 6; 2013; 1879.20; 522 
01/06/2013; TERCEIRA PONTE; CAT1; 6; 2013; 115442.10; 60759 
01/06/2013; TERCEIRA PONTE; CAT2; 6; 2013; 1824.00; 480 
01/06/2013; TERCEIRA PONTE; CAT3; 6; 2013; 219.45; 77 
01/06/2013; TERCEIRA PONTE; CAT4; 6; 2013; 678.30; 119 
