 datData; strNomePraca; strCodigoCategoria; numMesReferencia; numAnoReferencia; numValorArrecadado; numQuantidadeVeiculos
01/01/2012; PRAIA DO SOL; CAT1; 1; 2012; 140572.70; 20981 
01/01/2012; PRAIA DO SOL; CAT2; 1; 2012; 2599.60; 194 
01/01/2012; PRAIA DO SOL; CAT3; 1; 2012; 502.50; 50 
01/01/2012; PRAIA DO SOL; CAT4; 1; 2012; 1768.80; 88 
01/01/2012; PRAIA DO SOL; CAT5; 1; 2012; 0.00; 0 
01/01/2012; PRAIA DO SOL; CAT6; 1; 2012; 26.80; 1 
01/01/2012; PRAIA DO SOL; CAT7; 1; 2012; 100.50; 3 
01/01/2012; PRAIA DO SOL; CAT8; 1; 2012; 201.00; 5 
01/01/2012; PRAIA DO SOL; CAT9; 1; 2012; 1936.30; 578 
01/01/2012; PRAIA DO SOL; CAT99; 1; 2012; 0.00; 0 
01/01/2012; PRAIA DO SOL; ISENTOS; 1; 2012; 0.00; 86 
01/01/2012; TERCEIRA PONTE; CAT1; 1; 2012; 77258.20; 45446 
01/01/2012; TERCEIRA PONTE; CAT2; 1; 2012; 693.60; 204 
01/01/2012; TERCEIRA PONTE; CAT3; 1; 2012; 114.75; 45 
01/01/2012; TERCEIRA PONTE; CAT4; 1; 2012; 30.60; 6 
01/01/2012; TERCEIRA PONTE; CAT5; 1; 2012; 0.00; 0 
01/01/2012; TERCEIRA PONTE; CAT6; 1; 2012; 0.00; 0 
01/01/2012; TERCEIRA PONTE; CAT7; 1; 2012; 0.00; 0 
01/01/2012; TERCEIRA PONTE; CAT8; 1; 2012; 0.00; 0 
01/01/2012; TERCEIRA PONTE; CAT9; 1; 2012; 1365.95; 1607 
01/01/2012; TERCEIRA PONTE; CAT99; 1; 2012; 0.00; 0 
01/01/2012; TERCEIRA PONTE; ISENTOS; 1; 2012; 0.00; 763 
01/02/2012; PRAIA DO SOL; CAT1; 2; 2012; 59588.40; 8763 
01/02/2012; PRAIA DO SOL; CAT2; 2; 2012; 6188.00; 455 
01/02/2012; PRAIA DO SOL; CAT3; 2; 2012; 214.20; 21 
01/02/2012; PRAIA DO SOL; CAT4; 2; 2012; 3284.40; 161 
01/02/2012; PRAIA DO SOL; CAT5; 2; 2012; 27.20; 2 
01/02/2012; PRAIA DO SOL; CAT6; 2; 2012; 816.00; 30 
01/02/2012; PRAIA DO SOL; CAT7; 2; 2012; 1224.00; 36 
01/02/2012; PRAIA DO SOL; CAT8; 2; 2012; 2121.60; 52 
01/02/2012; PRAIA DO SOL; CAT9; 2; 2012; 1819.00; 535 
01/02/2012; PRAIA DO SOL; CAT99; 2; 2012; 231.20; 4 
01/02/2012; PRAIA DO SOL; ISENTOS; 2; 2012; 0.00; 182 
01/02/2012; TERCEIRA PONTE; CAT1; 2; 2012; 132370.20; 73539 
01/02/2012; TERCEIRA PONTE; CAT2; 2; 2012; 2847.60; 791 
01/02/2012; TERCEIRA PONTE; CAT3; 2; 2012; 116.10; 43 
01/02/2012; TERCEIRA PONTE; CAT4; 2; 2012; 59.40; 11 
01/02/2012; TERCEIRA PONTE; CAT5; 2; 2012; 0.00; 0 
01/02/2012; TERCEIRA PONTE; CAT6; 2; 2012; 0.00; 0 
01/02/2012; TERCEIRA PONTE; CAT7; 2; 2012; 0.00; 0 
01/02/2012; TERCEIRA PONTE; CAT8; 2; 2012; 0.00; 0 
01/02/2012; TERCEIRA PONTE; CAT9; 2; 2012; 7881.30; 8757 
01/02/2012; TERCEIRA PONTE; CAT99; 2; 2012; 0.00; 0 
01/02/2012; TERCEIRA PONTE; ISENTOS; 2; 2012; 0.00; 1408 
01/03/2012; PRAIA DO SOL; CAT1; 3; 2012; 53407.20; 7854 
01/03/2012; PRAIA DO SOL; CAT2; 3; 2012; 6582.40; 484 
01/03/2012; PRAIA DO SOL; CAT3; 3; 2012; 224.40; 22 
01/03/2012; PRAIA DO SOL; CAT4; 3; 2012; 3284.40; 161 
01/03/2012; PRAIA DO SOL; CAT5; 3; 2012; 13.60; 1 
01/03/2012; PRAIA DO SOL; CAT6; 3; 2012; 524.40; 19 
01/03/2012; PRAIA DO SOL; CAT7; 3; 2012; 1326.00; 39 
01/03/2012; PRAIA DO SOL; CAT8; 3; 2012; 1101.60; 27 
01/03/2012; PRAIA DO SOL; CAT9; 3; 2012; 1870.00; 550 
01/03/2012; PRAIA DO SOL; CAT99; 3; 2012; 98.60; 2 
01/03/2012; TERCEIRA PONTE; CAT1; 3; 2012; 134652.60; 74807 
01/03/2012; TERCEIRA PONTE; CAT2; 3; 2012; 3128.40; 869 
01/03/2012; TERCEIRA PONTE; CAT3; 3; 2012; 72.90; 27 
01/03/2012; TERCEIRA PONTE; CAT4; 3; 2012; 75.60; 14 
01/03/2012; TERCEIRA PONTE; CAT5; 3; 2012; 0.00; 0 
01/03/2012; TERCEIRA PONTE; CAT6; 3; 2012; 7.20; 1 
01/03/2012; TERCEIRA PONTE; CAT7; 3; 2012; 0.00; 0 
01/03/2012; TERCEIRA PONTE; CAT8; 3; 2012; 0.00; 0 
01/03/2012; TERCEIRA PONTE; CAT9; 3; 2012; 8190.90; 9101 
01/03/2012; TERCEIRA PONTE; CAT99; 3; 2012; 39.60; 1 
01/03/2012; TERCEIRA PONTE; ISENTOS; 3; 2012; 0.00; 1507 
01/04/2012; PRAIA DO SOL; CAT1; 4; 2012; 61111.60; 8987 
01/04/2012; PRAIA DO SOL; CAT2; 4; 2012; 2080.80; 153 
01/04/2012; PRAIA DO SOL; CAT3; 4; 2012; 295.80; 29 
01/04/2012; PRAIA DO SOL; CAT4; 4; 2012; 1509.60; 74 
01/04/2012; PRAIA DO SOL; CAT5; 4; 2012; 0.00; 0 
01/04/2012; PRAIA DO SOL; CAT6; 4; 2012; 54.40; 2 
01/04/2012; PRAIA DO SOL; CAT7; 4; 2012; 204.00; 6 
01/04/2012; PRAIA DO SOL; CAT8; 4; 2012; 40.80; 1 
01/04/2012; PRAIA DO SOL; CAT9; 4; 2012; 1734.00; 510 
01/04/2012; PRAIA DO SOL; CAT99; 4; 2012; 95.20; 2 
